Date,Open,High,Low,Close,Adj Close ,Volume
13-Jun-24,543.15,543.33,539.59,542.45,532.58,"44,760,900"
12-Jun-24,541.63,544.12,540.3,541.36,531.51,"63,251,300"
11-Jun-24,534.07,537.01,532.05,536.95,527.18,"36,383,400"
10-Jun-24,533.18,535.99,532.57,535.66,525.91,"35,686,100"
7-Jun-24,533.66,536.89,532.54,534.01,524.29,"43,224,500"
6-Jun-24,534.98,535.42,532.68,534.66,524.93,"30,808,500"
5-Jun-24,530.77,534.69,528.73,534.67,524.94,"47,610,400"
4-Jun-24,526.46,529.15,524.96,528.39,518.77,"34,632,700"
3-Jun-24,529.02,529.31,522.6,527.8,518.19,"46,835,700"
31-May-24,523.59,527.5,518.36,527.37,517.77,"90,785,800"
30-May-24,524.52,525.2,521.33,522.61,513.1,"46,377,600"
29-May-24,525.68,527.31,525.37,526.1,516.52,"45,190,300"
28-May-24,530.27,530.51,527.11,529.81,520.17,"36,269,600"
24-May-24,527.85,530.27,526.88,529.44,519.8,"41,291,100"
23-May-24,532.96,533.07,524.72,525.96,516.39,"57,211,200"
22-May-24,530.65,531.38,527.6,529.83,520.19,"48,390,000"
21-May-24,529.28,531.52,529.07,531.36,521.69,"33,437,000"
20-May-24,529.57,531.56,529.17,530.06,520.41,"37,764,200"
17-May-24,528.81,529.52,527.32,529.45,519.81,"59,187,600"
16-May-24,529.88,531.52,528.54,528.69,519.07,"50,244,800"
15-May-24,525.83,530.08,525.18,529.78,520.14,"59,504,900"
14-May-24,521.11,523.83,520.56,523.3,513.78,"57,535,900"
13-May-24,522.56,522.67,519.74,520.91,511.43,"36,716,400"
10-May-24,521.81,522.64,519.59,520.84,511.36,"52,233,200"
9-May-24,517.38,520.21,516.71,520.17,510.7,"43,643,700"
8-May-24,515.26,517.74,515.14,517.19,507.78,"42,047,200"
7-May-24,517.56,518.57,516.45,517.14,507.73,"52,561,300"
6-May-24,513.75,516.61,513.3,516.57,507.17,"47,264,700"
3-May-24,511.16,512.55,508.56,511.29,501.98,"72,756,700"
2-May-24,504.15,505.89,499.55,505.03,495.84,"62,550,200"
1-May-24,501.38,508.19,499.87,500.35,491.24,"80,242,800"
30-Apr-24,508.56,509.56,501.98,501.98,492.84,"77,483,600"
29-Apr-24,510.09,510.75,507.25,510.06,500.78,"46,415,400"
26-Apr-24,506.35,509.88,505.7,508.26,499.01,"64,306,100"
25-Apr-24,499.18,504.27,497.49,503.49,494.33,"69,122,400"
24-Apr-24,506.56,507.37,503.13,505.41,496.21,"55,928,100"
23-Apr-24,501.78,506.09,499.53,505.65,496.45,"64,633,600"
22-Apr-24,497.83,502.38,495.43,499.72,490.63,"67,961,000"
19-Apr-24,499.44,500.46,493.86,495.16,486.15,"102,212,600"
18-Apr-24,501.98,504.13,498.56,499.52,490.43,"74,548,100"
17-Apr-24,506.05,506.22,499.12,500.55,491.44,"75,910,300"
16-Apr-24,504.94,506.5,502.21,503.53,494.37,"73,484,000"
15-Apr-24,515.13,515.3,503.58,504.45,495.27,"92,101,400"
12-Apr-24,514.37,515.82,509.08,510.85,501.55,"92,561,100"
11-Apr-24,515.68,519.48,512.08,518,508.57,"70,099,000"
10-Apr-24,513.48,516.16,512.09,514.12,504.76,"82,652,800"
9-Apr-24,520.5,520.75,514.35,519.32,509.87,"68,049,200"
8-Apr-24,519.15,520.18,517.89,518.72,509.28,"48,401,800"
5-Apr-24,514.46,520.44,514.01,518.43,508.99,"74,546,500"
4-Apr-24,523.52,523.87,512.76,513.07,503.73,"96,858,100"
3-Apr-24,517.72,520.95,517.67,519.41,509.96,"59,155,800"
2-Apr-24,518.24,518.98,516.48,518.84,509.4,"74,230,300"
1-Apr-24,523.83,524.38,520.97,522.16,512.66,"62,477,500"
28-Mar-24,523.21,524.61,522.78,523.07,513.55,"96,294,900"
27-Mar-24,521.71,523.21,519.49,523.17,513.65,"82,999,800"
26-Mar-24,521.23,521.58,518.4,518.81,509.37,"65,463,700"
25-Mar-24,519.8,520.95,519.61,519.77,510.31,"48,512,100"
22-Mar-24,522.11,522.61,520.97,521.21,511.72,"79,070,800"
21-Mar-24,523.39,524.11,521.91,522.2,512.7,"60,256,100"
20-Mar-24,515.77,520.62,515.08,520.48,511.01,"69,594,600"
19-Mar-24,512.15,516,511.12,515.71,506.32,"60,755,300"
18-Mar-24,514,515.48,512.44,512.86,503.53,"88,893,300"
15-Mar-24,510.21,511.7,508.12,509.83,500.55,"107,646,300"
14-Mar-24,516.97,517.13,511.82,514.95,504.01,"110,171,800"
13-Mar-24,517.11,517.29,514.49,515.97,505.01,"55,104,100"
12-Mar-24,513.45,517.38,510.86,516.78,505.8,"73,114,400"
11-Mar-24,510.48,511.88,508.5,511.28,500.42,"62,557,200"
8-Mar-24,515.46,518.22,511.13,511.72,500.85,"86,532,500"
7-Mar-24,513.14,515.89,509.81,514.81,503.87,"58,652,100"
6-Mar-24,510.55,512.07,508.42,509.75,498.92,"68,382,400"
5-Mar-24,510.24,510.7,504.91,507.18,496.41,"72,855,600"
4-Mar-24,512.03,514.2,512,512.3,501.42,"49,799,300"
1-Mar-24,508.98,513.29,508.56,512.85,501.96,"76,844,800"
29-Feb-24,508.07,509.74,505.35,508.08,497.29,"83,924,800"
28-Feb-24,505.33,506.86,504.96,506.26,495.51,"56,506,600"
27-Feb-24,506.7,507.16,504.75,506.93,496.16,"48,854,500"
26-Feb-24,508.3,508.75,505.86,505.99,495.24,"50,386,700"
23-Feb-24,509.27,510.13,507.1,507.85,497.06,"61,321,800"
22-Feb-24,504.01,508.49,503.02,507.5,496.72,"76,402,500"
21-Feb-24,495.42,497.37,493.56,497.21,486.65,"59,293,400"
20-Feb-24,497.72,498.41,494.45,496.76,486.21,"71,736,700"
16-Feb-24,501.7,502.87,498.75,499.51,488.9,"75,532,900"
15-Feb-24,499.29,502.2,498.8,502.01,491.35,"61,683,000"
14-Feb-24,496.79,499.07,494.4,498.57,487.98,"68,387,800"
13-Feb-24,494.53,497.09,490.72,494.08,483.59,"113,099,200"
12-Feb-24,501.17,503.5,500.24,500.98,490.34,"56,502,300"
9-Feb-24,498.84,501.65,498.49,501.2,490.55,"63,979,400"
8-Feb-24,498.1,498.71,497.26,498.32,487.74,"52,343,600"
7-Feb-24,496.29,498.53,495.36,498.1,487.52,"70,556,500"
6-Feb-24,493.52,494.32,492.05,493.98,483.49,"55,918,600"
5-Feb-24,493.7,494.38,490.23,492.55,482.09,"75,757,100"
2-Feb-24,489.65,496.05,489.3,494.35,483.85,"99,228,200"
1-Feb-24,484.63,489.23,483.8,489.2,478.81,"91,891,600"
31-Jan-24,488.62,489.08,482.86,482.88,472.62,"126,011,100"
30-Jan-24,490.56,491.62,490.11,490.89,480.46,"58,618,400"
29-Jan-24,487.73,491.42,487.17,491.27,480.83,"61,322,800"
26-Jan-24,487.59,489.12,486.54,487.41,477.06,"76,641,600"
25-Jan-24,487.58,488.31,485.39,488.03,477.66,"72,525,000"
24-Jan-24,487.81,488.77,484.88,485.39,475.08,"81,765,000"
23-Jan-24,484.01,485.11,482.89,484.86,474.56,"49,945,300"
22-Jan-24,484.01,485.22,482.78,483.45,473.18,"75,844,900"
19-Jan-24,477.65,482.72,476.54,482.43,472.18,"110,834,500"
18-Jan-24,474.01,477.06,472.42,476.49,466.37,"91,856,200"
17-Jan-24,471.82,472.79,469.87,472.29,462.26,"68,843,900"
16-Jan-24,475.26,476.61,473.06,474.93,464.84,"85,014,900"
12-Jan-24,477.84,478.6,475.23,476.68,466.55,"58,026,400"
11-Jan-24,477.59,478.12,472.26,476.35,466.23,"77,940,700"
10-Jan-24,474.16,477.45,473.87,476.56,466.44,"67,310,600"
9-Jan-24,471.87,474.93,471.35,473.88,463.81,"65,931,400"
8-Jan-24,468.43,474.75,468.3,474.6,464.52,"74,879,100"
5-Jan-24,467.49,470.44,466.43,467.92,457.98,"86,118,900"
4-Jan-24,468.3,470.96,467.05,467.28,457.35,"84,232,200"
3-Jan-24,470.43,471.19,468.17,468.79,458.83,"103,585,900"
